Time: 2024-02-29 05:15:24 PM,Voltage: 13.520, Panel Power: 10.000, Yield:  0.000,
Time: 2024-02-29 05:30:26 PM,Voltage: 13.440, Panel Power: 7.000, Yield:  0.000,
Time: 2024-02-29 05:45:27 PM,Voltage: 13.290, Panel Power: 3.000, Yield:  0.000,
Time: 2024-02-29 06:00:29 PM,Voltage: 13.090, Panel Power: 1.000, Yield:  0.000,
Time: 2024-02-29 06:15:30 PM,Voltage: 13.210, Panel Power: 3.000, Yield:  0.000,
Time: 2024-02-29 06:30:32 PM,Voltage: 13.130, Panel Power: 1.000, Yield:  0.000,
Time: 2024-02-29 06:45:34 PM,Voltage: 13.000, Panel Power: 0.000, Yield:  0.000,
Time: 2024-02-29 07:00:35 PM,Voltage: 12.950, Panel Power: 0.000, Yield:  0.000,
Time: 2024-02-29 07:15:37 PM,Voltage: 12.910, Panel Power: 0.000, Yield:  1.000,
Time: 2024-03-02 03:47:16 PM,Voltage: 13.780, Panel Power: 6.000, Yield:  8.000,
Time: 2024-03-02 04:15:08 PM,Voltage: 13.840, Panel Power: 6.000, Yield:  8.000,
Time: 2024-03-02 04:30:10 PM,Voltage: 13.850, Panel Power: 5.000, Yield:  8.000,
Time: 2024-03-02 04:45:12 PM,Voltage: 13.850, Panel Power: 5.000, Yield:  8.000,
Time: 2024-03-02 05:00:13 PM,Voltage: 13.850, Panel Power: 5.000, Yield:  8.000,
Time: 2024-03-02 05:15:15 PM,Voltage: 13.850, Panel Power: 4.000, Yield:  9.000,
Time: 2024-03-02 05:30:16 PM,Voltage: 13.850, Panel Power: 4.000, Yield:  9.000,
Time: 2024-03-02 05:45:18 PM,Voltage: 13.850, Panel Power: 4.000, Yield:  9.000,
Time: 2024-03-02 06:00:20 PM,Voltage: 13.860, Panel Power: 4.000, Yield:  9.000,
