Time: 2024-04-05 01:54:58 PM,Voltage: 11.650, Panel Power: 0.000, Yield:  0.000,
Time: 2024-04-05 01:59:17 PM,Voltage: 11.650, Panel Power: 0.000, Yield:  0.000,
Time: 2024-04-05 03:45:43 PM,Voltage: 11.600, Panel Power: 0.000, Yield:  0.000,
Time: 2024-04-05 04:09:42 PM,Voltage: 11.580, Panel Power: 0.000, Yield:  0.000,
Time: 2024-04-05 04:15:47 PM,Voltage: 11.580, Panel Power: 0.000, Yield:  0.000,
Time: 2024-04-05 04:31:16 PM,Voltage: 11.580, Panel Power: 0.000, Yield:  0.000,
Time: 2024-04-15 02:38:01 PM,Voltage: 13.670, Panel Power: 4.000, Yield:  4.000,
Time: 2024-04-15 03:00:36 PM,Voltage: 13.670, Panel Power: 4.000, Yield:  4.000,
Time: 2024-04-15 03:04:02 PM,Voltage: 13.670, Panel Power: 3.000, Yield:  4.000,
Time: 2024-04-15 03:06:07 PM,Voltage: 13.680, Panel Power: 4.000, Yield:  4.000,
Time: 2024-04-15 03:13:37 PM,Voltage: 13.670, Panel Power: 3.000, Yield:  4.000,
Time: 2024-04-15 03:28:17 PM,Voltage: 13.690, Panel Power: 4.000, Yield:  4.000,
Time: 2024-04-15 03:30:45 PM,Voltage: 13.700, Panel Power: 4.000, Yield:  4.000,
Time: 2024-04-15 03:45:53 PM,Voltage: 13.710, Panel Power: 4.000, Yield:  4.000,
